1589887624:[MAIN  ,0007]buoy 452.210-P-0014
1589887624:[MAIN  ,0055]soft pilotage 452.012.300_V2.18-20200518
1589887624:[MAIN  ,0010]cycle 3
1589887624:[SURF  ,0225]surface2
1589887631:[SURF  ,0022]GPS fix...
1589887653:<WARN>[GPSFIX,0123]GPRMC ms=30 #1
1589887671:<WARN>[GPSFIX,0123]GPRMC ms=970 #1
1589887671:<WARN>[GPSFIX,0123]GPRMC ms=990 #1
1589887673:<WARN>[GPSFIX,0123]GPRMC ms=990 #1
1589887684:<WARN>[GPSFIX,0121]GPRMC #1
