1580386080:[PRESS , 95]P    -70mbar,T-15012mdegC
1580386082:[PRESS , 95]P    -70mbar,T-27468mdegC
1580386086:[PRESS , 95]P    -60mbar,T-15012mdegC
1580386095:[PRESS , 95]P    -60mbar,T+11528mdegC
1580386097:[PRESS , 95]P    -60mbar,T+23981mdegC
1580386097:[BYPASS,149]opening 10000ms
1580386098:[MONITR,461]battery 14941mV,  364658uA
1580386102:[MONITR,461]battery 15111mV,  121878uA
1580386104:[MONITR,461]battery 15236mV,    2806uA
1580386113:[MONITR,461]battery 14965mV,  301218uA
1580386117:[MONITR,461]battery 15117mV,  118950uA
1580386118:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386120:[PRESS , 95]P    -60mbar,T+11528mdegC
1580386124:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386126:[PRESS , 95]P    -50mbar,T+11528mdegC
1580386129:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386131:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386133:[PRESS , 95]P    -40mbar,T+23981mdegC
1580386135:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386138:[PRESS , 95]P    -50mbar,T+11528mdegC
1580386140:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386143:[BYPASS,149]opening 10000ms
1580386145:[MONITR,461]battery 14968mV,  315736uA
1580386150:[MONITR,461]battery 15190mV,   46116uA
1580386160:[MONITR,461]battery 14968mV,  300852uA
1580386165:[MONITR,461]battery 15190mV,   44042uA
1580386165:[PRESS , 95]P    -40mbar,T-27468mdegC
1580386167:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386169:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386171:[PRESS , 95]P    -50mbar,T+11528mdegC
1580386174:[PRESS , 95]P    -50mbar,T+23981mdegC
1580386176:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386180:[PRESS , 95]P    -40mbar,T+23981mdegC
1580386181:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386183:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386185:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386189:[PRESS , 95]P    -60mbar,T+11528mdegC
1580386190:[PRESS , 95]P    -50mbar,T-27468mdegC
1580386190:[BYPASS,149]opening 10000ms
1580386192:[MONITR,461]battery 14973mV,  289018uA
1580386197:[MONITR,461]battery 15233mV,    4636uA
1580386206:[MONITR,461]battery 15138mV,  120902uA
1580386207:[MONITR,461]battery 14971mV,  300364uA
1580386212:[PRESS , 95]P    -50mbar,T+11528mdegC
1580386214:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386216:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386218:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386230:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386234:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386235:[PRESS , 95]P    -50mbar,T+11528mdegC
1580386237:[BYPASS,149]opening 10000ms
1580386244:[MONITR,461]battery 15246mV,    2806uA
1580386253:[MONITR,461]battery 15062mV,  204106uA
1580386259:[PRESS , 95]P    -40mbar,T-27468mdegC
1580386261:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386264:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386266:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386270:[PRESS , 95]P    -40mbar,T-27468mdegC
1580386272:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386275:[PRESS , 95]P    -40mbar,T+23981mdegC
1580386277:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386281:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386284:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386284:[BYPASS,149]opening 10000ms
