1557665708:[PRESS , 95]P  +1820mbar,T -9880mdegC
1557665771:[PRESS , 81]P  +2350mbar,T+16808mdegC
1557665774:[PRESS , 95]P  +2360mbar,T -9880mdegC
1557665776:[PRESS , 95]P  +2380mbar,T+28966mdegC
1557665778:[PRESS , 95]P  +2400mbar,T -9880mdegC
1557665781:[PRESS , 95]P  +2430mbar,T+16808mdegC
1557665785:[PRESS , 95]P  +2470mbar,T -9880mdegC
1557665794:[PRESS , 81]P  +2530mbar,T+16808mdegC
1557665796:[PRESS , 95]P  +2540mbar,T -9880mdegC
1557665798:[MONITR,461]battery 15042mV,   34892uA
1557665804:[PUMP  ,367]during 60000ms
1557665804:[MONITR,461]battery 14608mV,  170800uA
1557665806:[MONITR,461]battery 14376mV,  291824uA
1557665864:[MONITR,461]battery 14670mV,  216916uA
1557665865:[MONITR,461]battery 14870mV,   68564uA
1557665867:[PRESS , 81]P  +3000mbar,T -9880mdegC
1557665869:[PRESS , 95]P  +3010mbar,T+28966mdegC
1557665871:[PRESS , 95]P  +3020mbar,T -9880mdegC
1557665883:[PRESS , 81]P  +3080mbar,T+28966mdegC
1557665885:[PRESS , 95]P  +3080mbar,T -9880mdegC
1557665887:[PRESS , 95]P  +3090mbar,T+28966mdegC
1557665891:[PRESS , 95]P  +3120mbar,T -9880mdegC
1557665892:[PRESS , 95]P  +3130mbar,T+28966mdegC
1557665900:[PUMP  ,367]during 32406ms
1557665902:[MONITR,461]battery 14400mV,  298290uA
1557665934:[MONITR,461]battery 14833mV,   68076uA
1557665956:[PRESS , 81]P  +3430mbar,T+16808mdegC
1557665958:[PRESS , 95]P  +3440mbar,T -9880mdegC
1557665960:[PRESS , 95]P  +3460mbar,T+28966mdegC
1557665962:[PRESS , 95]P  +3460mbar,T -9880mdegC
1557665963:[PRESS , 95]P  +3480mbar,T+28966mdegC
1557665965:[PRESS , 95]P  +3480mbar,T -9880mdegC
1557665967:[PRESS , 95]P  +3490mbar,T+28966mdegC
1557665971:[PRESS , 95]P  +3500mbar,T -9880mdegC
1557665980:[PRESS , 81]P  +3560mbar,T+28966mdegC
1557665981:[PRESS , 95]P  +3560mbar,T -9880mdegC
1557665989:[PUMP  ,367]during 42559ms
1557665991:[MONITR,461]battery 14365mV,  290604uA
1557666033:[MONITR,461]battery 14806mV,   73200uA
1557666045:[PRESS , 81]P  +3850mbar,T -9880mdegC
1557666050:[PRESS , 95]P  +3870mbar,T+28966mdegC
1557666052:[PRESS , 95]P  +3870mbar,T -9880mdegC
1557666054:[PRESS , 95]P  +3880mbar,T+28966mdegC
1557666056:[PRESS , 95]P  +3880mbar,T -9880mdegC
1557666063:[PRESS , 95]P  +3920mbar,T +2275mdegC
1557666065:[PRESS , 95]P  +3930mbar,T+28966mdegC
1557666067:[PRESS , 95]P  +3930mbar,T -9880mdegC
1557666070:[PRESS , 95]P  +3940mbar,T+28966mdegC
1557666078:[PUMP  ,367]during 25085ms
1557666080:[MONITR,461]battery 14348mV,  308904uA
1557666105:[MONITR,461]battery 14826mV,   66002uA
1557666134:[PRESS , 81]P  +4170mbar,T+16808mdegC
1557666136:[PRESS , 95]P  +4180mbar,T -9880mdegC
1557666139:[PRESS , 95]P  +4200mbar,T+28966mdegC
1557666141:[PRESS , 95]P  +4200mbar,T+16808mdegC
1557666143:[PRESS , 95]P  +4200mbar,T -9880mdegC
