1557684950:[PRESS , 81]P   +420mbar,T+28966mdegC
1557684956:[PRESS , 95]P   +460mbar,T +2275mdegC
1557684958:[PRESS , 95]P   +480mbar,T+28966mdegC
1557684961:[PRESS , 95]P   +500mbar,T +2275mdegC
1557684963:[PRESS , 95]P   +530mbar,T -9880mdegC
1557684963:[DIVING,157]530mbar reached (+7mbar/s), 4 bypass done
1557684964:[MAIN  ,646]stage[0]
1557684966:[MAIN  ,651]internal pressure 82695Pa
1557684967:[PRESS , 95]P   +570mbar,T +2275mdegC
1557684967:[BUOY  ,677]P   +570mbar
1557684968:[PRESS , 95]P   +600mbar,T+28966mdegC
1557685029:[PRESS , 81]P  +1330mbar,T+28966mdegC
1557685035:[PRESS , 81]P  +1390mbar,T -9880mdegC
1557685036:[PRESS , 95]P  +1410mbar,T+28966mdegC
1557685038:[PRESS , 95]P  +1430mbar,T -9880mdegC
1557685040:[PRESS , 95]P  +1470mbar,T +2275mdegC
1557685042:[PRESS , 95]P  +1490mbar,T -9880mdegC
1557685045:[PRESS , 95]P  +1530mbar,T+28966mdegC
1557685051:[PRESS , 81]P  +1600mbar,T -9880mdegC
1557685052:[PRESS , 95]P  +1620mbar,T +2275mdegC
1557685054:[PRESS , 95]P  +1650mbar,T+28966mdegC
1557685115:[PRESS , 81]P  +2410mbar,T+28966mdegC
1557685117:[PRESS , 95]P  +2450mbar,T+16808mdegC
1557685120:[PRESS , 95]P  +2480mbar,T+28966mdegC
1557685122:[PRESS , 95]P  +2520mbar,T -9880mdegC
1557685124:[PRESS , 95]P  +2540mbar,T+28966mdegC
1557685128:[PRESS , 95]P  +2570mbar,T -9880mdegC
1557685129:[PRESS , 95]P  +2590mbar,T+28966mdegC
1557685131:[PRESS , 95]P  +2630mbar,T+16808mdegC
1557685133:[PRESS , 95]P  +2650mbar,T+28966mdegC
1557685138:[PRESS , 81]P  +2720mbar,T+28966mdegC
1557685141:[MONITR,461]battery 14967mV,   36112uA
1557685148:[PUMP  ,367]during 60000ms
1557685150:[MONITR,461]battery 14291mV,  288408uA
1557685209:[MONITR,461]battery 14731mV,   99430uA
1557685212:[PRESS , 81]P  +3610mbar,T -9880mdegC
1557685214:[PRESS , 95]P  +3610mbar,T+28966mdegC
1557685215:[PRESS , 95]P  +3640mbar,T -9880mdegC
1557685217:[PRESS , 95]P  +3660mbar,T+28966mdegC
1557685219:[PRESS , 95]P  +3680mbar,T -9880mdegC
1557685223:[PRESS , 81]P  +3740mbar,T+28966mdegC
1557685224:[PRESS , 95]P  +3750mbar,T -9880mdegC
1557685226:[PRESS , 95]P  +3760mbar,T+28966mdegC
