1560245261:[OILLVL,113]0/5 hit(s), unswitched
1560245262:[OILLVL,113]0/5 hit(s), unswitched
1560245263:[OILLVL,113]0/5 hit(s), unswitched
1560245264:[OILLVL,113]0/5 hit(s), unswitched
1560245265:[OILLVL,113]0/5 hit(s), unswitched
1560245266:[OILLVL,113]0/5 hit(s), unswitched
1560245267:[OILLVL,113]0/5 hit(s), unswitched
1560245268:[OILLVL,113]0/5 hit(s), unswitched
1560245270:[OILLVL,113]0/5 hit(s), unswitched
1560245271:[OILLVL,113]0/5 hit(s), unswitched
1560245271:[MONITR,461]battery 14466mV, 1558184uA
1560245272:[OILLVL,113]0/5 hit(s), unswitched
1560245273:[OILLVL,113]0/5 hit(s), unswitched
1560245274:[OILLVL,113]0/5 hit(s), unswitched
1560245275:[OILLVL,113]0/5 hit(s), unswitched
1560245276:[OILLVL,113]0/5 hit(s), unswitched
1560245277:[OILLVL,113]0/5 hit(s), unswitched
1560245278:[OILLVL,113]0/5 hit(s), unswitched
1560245279:[OILLVL,113]0/5 hit(s), unswitched
1560245280:[OILLVL,113]0/5 hit(s), unswitched
1560245281:[OILLVL,113]0/5 hit(s), unswitched
1560245282:[OILLVL,113]0/5 hit(s), unswitched
1560245283:[OILLVL,113]0/5 hit(s), unswitched
1560245284:[OILLVL,113]0/5 hit(s), unswitched
1560245285:[OILLVL,113]0/5 hit(s), unswitched
1560245286:[OILLVL,113]0/5 hit(s), unswitched
1560245287:[OILLVL,113]0/5 hit(s), unswitched
1560245288:[OILLVL,113]0/5 hit(s), unswitched
1560245289:[OILLVL,113]0/5 hit(s), unswitched
1560245290:[OILLVL,113]0/5 hit(s), unswitched
1560245292:[OILLVL,113]0/5 hit(s), unswitched
1560245293:[OILLVL,113]2/5 hit(s), unswitched
1560245294:[OILLVL,113]5/5 hit(s), switched
1560245295:[OILLVL,113]5/5 hit(s), switched
1560245296:[OILLVL,113]5/5 hit(s), switched
1560245296:[MONITR,461]battery 14467mV, 1339926uA
1560245297:[MONITR,461]battery 14773mV,  201910uA
1560245298:[SURFIN,117]external bladder full
1560245298:[TESTMD, 73]pump run 97s
1560245299:[MONITR,461]battery 14871mV,   33062uA
1560245303:[TESTMD, 81]test done
1560245475:[TESTMD,364]"act"
1560245475:[SURFIN, 82]filling external bladder
1560245476:[OILLVL,113]0/5 hit(s), unswitched
1560245477:[MONITR,461]battery 15243mV,   12566uA
1560245477:[OILLVL,113]0/5 hit(s), unswitched
1560245478:[OILLVL,113]0/5 hit(s), unswitched
1560245483:[PUMP  ,367]during 300000ms
1560245484:[OILLVL,113]0/5 hit(s), unswitched
1560245485:[MONITR,461]battery 14792mV, 1259650uA
1560245485:[OILLVL,113]5/5 hit(s), switched
1560245486:[MONITR,461]battery 14723mV, 1518656uA
1560245486:[OILLVL,113]5/5 hit(s), switched
