1557672347:[PRESS , 95]P  +2200mbar,T+28966mdegC
1557672413:[PRESS , 81]P  +2670mbar,T -9880mdegC
1557672415:[PRESS , 95]P  +2680mbar,T +2275mdegC
1557672417:[PRESS , 95]P  +2680mbar,T+28966mdegC
1557672418:[PRESS , 95]P  +2710mbar,T -9880mdegC
1557672420:[PRESS , 95]P  +2730mbar,T+28966mdegC
1557672427:[PRESS , 95]P  +2760mbar,T+16808mdegC
1557672431:[PRESS , 95]P  +2790mbar,T +2275mdegC
1557672433:[PRESS , 95]P  +2800mbar,T -9880mdegC
1557672434:[PRESS , 95]P  +2830mbar,T+28966mdegC
1557672436:[PRESS , 95]P  +2830mbar,T +2275mdegC
1557672438:[PRESS , 95]P  +2840mbar,T+28966mdegC
1557672440:[MONITR,461]battery 15010mV,   34770uA
1557672446:[PUMP  ,367]during 60000ms
1557672447:[MONITR,461]battery 14622mV,  150914uA
1557672448:[MONITR,461]battery 14301mV,  297680uA
1557672507:[MONITR,461]battery 14593mV,  240828uA
1557672508:[MONITR,461]battery 14836mV,   66002uA
1557672510:[PRESS , 81]P  +3310mbar,T+28966mdegC
1557672521:[PRESS , 81]P  +3390mbar,T+28966mdegC
1557672524:[PRESS , 95]P  +3400mbar,T +2275mdegC
1557672528:[PRESS , 95]P  +3430mbar,T+28966mdegC
1557672529:[PRESS , 95]P  +3430mbar,T +2275mdegC
1557672531:[PRESS , 95]P  +3450mbar,T+28966mdegC
1557672533:[PRESS , 95]P  +3450mbar,T -9880mdegC
1557672535:[PRESS , 95]P  +3480mbar,T+28966mdegC
1557672543:[PUMP  ,367]during 55000ms
1557672545:[MONITR,461]battery 14347mV,  307318uA
1557672600:[MONITR,461]battery 14763mV,   66124uA
1557672602:[PRESS , 81]P  +3790mbar,T +2275mdegC
1557672604:[PRESS , 95]P  +3800mbar,T+28966mdegC
1557672607:[PRESS , 95]P  +3820mbar,T -9880mdegC
1557672609:[PRESS , 95]P  +3810mbar,T+28966mdegC
1557672611:[PRESS , 95]P  +3820mbar,T -9880mdegC
1557672612:[PRESS , 95]P  +3830mbar,T+28966mdegC
1557672618:[PRESS , 95]P  +3840mbar,T +2275mdegC
1557672621:[PRESS , 95]P  +3860mbar,T+28966mdegC
1557672625:[PRESS , 95]P  +3870mbar,T +2275mdegC
1557672627:[PRESS , 95]P  +3870mbar,T+28966mdegC
1557672687:[PRESS , 81]P  +4100mbar,T -9880mdegC
1557672689:[PRESS , 95]P  +4100mbar,T+28966mdegC
1557672691:[PRESS , 95]P  +4110mbar,T -9880mdegC
1557672695:[PRESS , 95]P  +4130mbar,T+28966mdegC
1557672696:[PRESS , 95]P  +4130mbar,T +2275mdegC
1557672698:[PRESS , 95]P  +4140mbar,T -9880mdegC
1557672700:[PRESS , 95]P  +4150mbar,T+28966mdegC
1557672705:[PRESS , 95]P  +4180mbar,T+16808mdegC
1557672707:[PRESS , 95]P  +4180mbar,T+28966mdegC
1557672713:[PRESS , 95]P  +4190mbar,T -9880mdegC
1557672721:[PUMP  ,367]during 25119ms
1557672722:[MONITR,461]battery 14313mV,  289140uA
1557672747:[MONITR,461]battery 14821mV,   66368uA
1557672776:[PRESS , 81]P  +4390mbar,T+28966mdegC
1557672778:[PRESS , 95]P  +4400mbar,T +2275mdegC
1557672780:[PRESS , 95]P  +4400mbar,T+28966mdegC
1557672791:[PRESS , 95]P  +4420mbar,T +2275mdegC
1557672792:[PRESS , 95]P  +4420mbar,T -9880mdegC
1557672794:[PRESS , 95]P  +4430mbar,T +2275mdegC
1557672796:[PRESS , 95]P  +4430mbar,T+28966mdegC
1557672800:[PRESS , 95]P  +4450mbar,T +2275mdegC
1557672801:[PRESS , 95]P  +4450mbar,T -9880mdegC
1557672862:[PRESS , 81]P  +4650mbar,T+28966mdegC
1557672871:[PRESS , 95]P  +4680mbar,T -9880mdegC
1557672875:[PRESS , 95]P  +4690mbar,T+28966mdegC
1557672884:[PRESS , 95]P  +4720mbar,T +2275mdegC
1557672885:[PRESS , 95]P  +4730mbar,T+28966mdegC
1557672895:[PUMP  ,367]during 17532ms
1557672897:[MONITR,461]battery 14310mV,  305000uA
1557672914:[MONITR,461]battery 14866mV,   66002uA
1557672951:[PRESS , 81]P  +4900mbar,T -9880mdegC
1557672953:[PRESS , 95]P  +4910mbar,T+28966mdegC
1557672960:[PRESS , 95]P  +4930mbar,T +2275mdegC
1557672962:[PRESS , 95]P  +4930mbar,T+28966mdegC
1557672967:[PRESS , 95]P  +4940mbar,T +2275mdegC
1557672971:[PRESS , 95]P  +4950mbar,T+28966mdegC
1557673037:[PRESS , 81]P  +5130mbar,T +2275mdegC
1557673045:[PUMP  ,367]during 17477ms
