1576181405:[PRESS , 95]P   +210mbar,T +2534mdegC
1576181408:[PRESS , 95]P   +220mbar,T+28117mdegC
1576181410:[PRESS , 95]P   +210mbar,T +2534mdegC
1576181412:[PRESS , 95]P   +220mbar,T+28117mdegC
1576181415:[PRESS , 95]P   +230mbar,T +2534mdegC
1576181417:[PRESS , 95]P   +240mbar,T+28117mdegC
1576181423:[PRESS , 95]P   +240mbar,T +2534mdegC
1576181424:[PRESS , 95]P   +250mbar,T-11839mdegC
1576181426:[PRESS , 95]P   +260mbar,T+28117mdegC
1576181428:[PRESS , 95]P   +260mbar,T-11839mdegC
1576181431:[PRESS , 95]P   +260mbar,T+28117mdegC
1576181436:[PRESS , 95]P   +280mbar,T +2534mdegC
1576181439:[PRESS , 95]P   +280mbar,T+28117mdegC
1576181445:[PRESS , 95]P   +300mbar,T-11839mdegC
1576181448:[PRESS , 95]P   +310mbar,T+28117mdegC
1576181450:[PRESS , 95]P   +320mbar,T +2534mdegC
1576181453:[PRESS , 95]P   +330mbar,T+28117mdegC
1576181462:[PRESS , 95]P   +360mbar,T +2534mdegC
1576181464:[PRESS , 95]P   +370mbar,T-11839mdegC
1576181467:[PRESS , 95]P   +370mbar,T +2534mdegC
1576181470:[PRESS , 95]P   +380mbar,T+28117mdegC
1576181473:[PRESS , 95]P   +390mbar,T-11839mdegC
1576181476:[PRESS , 95]P   +390mbar,T+28117mdegC
1576181478:[PRESS , 95]P   +410mbar,T-11839mdegC
1576181481:[PRESS , 95]P   +420mbar,T+28117mdegC
1576181484:[PRESS , 95]P   +430mbar,T +2534mdegC
1576181487:[PRESS , 95]P   +430mbar,T+28117mdegC
1576181490:[PRESS , 95]P   +450mbar,T-11839mdegC
1576181495:[PRESS , 95]P   +470mbar,T +2534mdegC
1576181498:[PRESS , 95]P   +480mbar,T-11839mdegC
1576181501:[PRESS , 95]P   +480mbar,T +2534mdegC
1576181504:[PRESS , 95]P   +500mbar,T+28117mdegC
1576181505:[DIVING,157]500mbar reached (+4mbar/s), 7 bypass done
1576181506:[MAIN  ,646]stage[0]
1576181508:[MAIN  ,651]internal pressure 83423Pa
1576181509:[BUOY  ,656]P   +510mbar
1576181811:[PRESS , 95]P  +1540mbar,T-11839mdegC
1576181813:[PRESS , 95]P  +1550mbar,T+28117mdegC
1576181815:[PRESS , 95]P  +1540mbar,T-11839mdegC
1576181823:[PRESS , 95]P  +1600mbar,T+28117mdegC
1576181825:[PRESS , 95]P  +1600mbar,T-11839mdegC
1576181827:[PRESS , 95]P  +1620mbar,T+28117mdegC
1576181831:[PRESS , 95]P  +1620mbar,T+13740mdegC
1576181833:[PRESS , 95]P  +1630mbar,T+28117mdegC
